ID;AGE;INCOME;GENDER;MARITAL;NUMKIDS;NUMCARDS;HOWPAID;EMPLOYED_DAYS;STORECAR;LOANS;LOAN_AMOUNT;MORTGAGE;MORTGAGE_AMOUNT;CREDIT_SCORE;RISK
100756;44;59944;m;married;1;2;monthly;6503;2;0;0;y;155000;0,73;good risk
100668;35;59692;m;married;1;1;monthly;5842;1;0;0;y;144000;0,46;bad loss
100418;34;59508;m;married;1;1;monthly;2649;2;1;25370;y;157000;0,53;good risk
100416;34;59463;m;married;0;2;monthly;3423;1;1;28220;y;135000;0,31;bad loss
100590;39;59393;f;married;0;2;monthly;4964;1;0;0;y;145000;0,81;good risk
100657;41;59276;m;married;1;2;monthly;6663;1;1;36300;y;177000;0,56;good risk
100702;42;59201;m;married;0;1;monthly;5607;2;0;0;y;159000;0,81;good risk
100319;31;59193;f;married;1;2;monthly;1782;1;1;15640;y;163000;0,63;good risk
100666;28;59179;m;married;1;1;monthly;1631;2;1;30050;y;163000;0,39;bad loss
100389;30;59036;m;married;1;1;monthly;3412;2;1;13800;y;157000;0,67;good risk
100758;38;58914;m;married;0;1;monthly;5962;1;1;16230;y;144000;0,51;bad profit
100695;36;58878;f;married;1;1;monthly;4882;1;0;0;y;154000;0,63;bad profit
100698;42;58785;f;married;0;2;monthly;5820;1;0;0;y;175000;0,46;good risk
100769;44;58529;m;married;0;1;monthly;7443;1;0;0;y;165000;0,13;bad loss
100376;33;58505;f;married;0;2;monthly;4030;1;0;0;y;136000;0,66;good risk
100796;45;58381;m;married;1;1;monthly;8399;1;0;0;y;162000;0,47;good risk
100414;34;58026;m;married;0;1;monthly;3191;2;0;0;y;131000;0,62;good risk
100354;32;57718;m;married;1;2;monthly;3572;1;1;37330;y;135000;0,27;bad profit
100452;35;57689;m;married;1;1;monthly;5843;2;1;15990;y;169000;0,68;good risk
100567;38;57683;f;married;1;1;monthly;5116;2;1;33560;y;152000;0,25;bad loss
100728;28;57623;m;married;1;1;monthly;2514;1;1;6830;y;158000;0,53;bad loss
100725;43;57598;f;married;1;1;monthly;6559;1;1;19170;y;151000;0,38;good risk
100665;41;57520;f;married;1;1;monthly;4268;1;0;0;y;179000;0,55;bad loss
100730;43;57388;f;married;0;1;monthly;4944;1;0;0;y;173000;0,44;bad loss
100766;44;57376;m;married;0;2;monthly;6888;2;1;26070;y;168000;0,85;good risk
100524;37;57004;f;married;1;1;monthly;4857;2;0;0;y;195000;0,56;good risk
100412;34;56891;m;married;1;1;monthly;4338;2;1;15020;y;138000;0,63;bad profit
100374;33;56849;m;married;1;1;monthly;2814;1;1;10080;y;171000;0,57;good risk
100566;38;56590;m;married;0;2;monthly;3331;1;0;0;y;155000;0,37;bad loss
100591;39;56523;m;married;1;1;monthly;5000;2;0;0;y;167000;0,51;good risk
100421;34;56486;m;married;0;1;monthly;3730;1;1;23560;y;114000;0,28;bad profit
100670;41;56470;m;married;0;2;monthly;6011;1;0;0;y;132000;0,23;bad loss
100379;33;56087;m;married;1;2;monthly;4738;1;1;12980;y;130000;0,62;bad profit
100292;30;56087;f;married;0;1;monthly;2249;1;1;19600;y;151000;0,55;bad profit
100326;31;55897;m;married;1;2;monthly;2942;2;0;0;y;158000;0,52;good risk
100497;36;55777;f;married;1;2;monthly;4023;2;0;0;y;163000;0,49;bad loss
100568;38;55752;m;married;0;2;monthly;5259;2;1;27380;y;146000;0,42;good risk
100294;30;55642;f;married;1;2;monthly;2794;1;0;0;y;137000;0,69;good risk
100570;38;55565;m;married;1;2;monthly;4267;1;0;0;y;177000;0,53;good risk
100347;36;55554;f;married;0;1;monthly;4316;1;0;0;y;120000;0,52;good risk
100425;34;55497;m;married;1;1;monthly;3627;2;1;22160;y;136000;0,42;bad profit
100494;36;55421;m;married;0;2;monthly;5102;2;0;0;y;161000;0,57;good risk
100592;39;55390;f;married;0;1;monthly;4629;1;0;0;y;144000;0,57;bad profit
100601;39;55215;m;married;0;2;monthly;4541;2;0;0;y;128000;0,62;good risk
100700;42;55140;m;married;1;2;monthly;7166;1;0;0;y;189000;0,75;good risk
100563;38;55112;m;married;1;2;monthly;5364;2;1;13340;y;170000;0,75;good risk
100486;36;54938;m;married;0;2;monthly;5771;1;0;0;y;129000;0,57;good risk
100348;32;54792;m;married;1;1;monthly;4383;2;0;0;y;162000;0,53;good risk
100672;41;54777;m;married;1;2;monthly;5971;1;1;25410;y;133000;0,65;good risk
100450;35;54673;f;married;1;2;monthly;3305;2;1;13990;y;139000;0,42;bad profit
100629;28;54671;m;married;0;2;monthly;3395;1;0;0;y;126000;0,51;good risk
100386;33;54603;f;married;1;2;monthly;4512;1;1;18860;y;137000;0,54;good risk
100757;44;54451;m;married;0;1;monthly;6191;2;1;25680;y;123000;0,75;good risk
100488;36;54021;m;married;1;1;monthly;4583;2;1;35220;y;156000;0,42;bad profit
100383;33;54013;f;married;0;1;monthly;3359;2;0;0;y;142000;0,65;good risk
100770;44;53983;f;married;1;2;monthly;6782;2;0;0;y;148000;0,40;bad profit
100795;45;53842;f;married;0;2;monthly;6774;1;0;0;y;146000;0,66;good risk
100415;34;53791;m;married;0;1;monthly;3016;1;1;10460;y;149000;0,69;good risk
100597;39;53731;m;married;0;2;monthly;5410;2;1;29230;y;117000;0,76;good risk
100794;45;53704;m;married;1;2;monthly;6770;2;1;27180;y;175000;0,64;good risk
100755;44;53660;f;married;1;1;monthly;5295;1;1;11820;y;139000;0,66;good risk
100390;33;53559;f;married;1;2;monthly;3786;1;0;0;y;138000;0,79;good risk
100345;32;53552;f;married;0;2;monthly;3604;1;1;8680;y;146000;0,65;good risk
100753;44;53550;m;married;1;1;monthly;6700;1;1;22910;y;166000;0,45;bad loss
100492;36;53365;m;married;0;1;monthly;3096;2;0;0;y;142000;0,57;bad profit
100694;42;53307;m;married;0;2;monthly;6467;1;1;33950;y;112000;0,67;bad loss
100448;35;53201;m;married;0;1;monthly;4245;2;0;0;y;111000;0,80;good risk
100384;33;53195;m;married;1;2;monthly;4512;1;1;25750;y;179000;0,91;good risk
100630;40;53180;f;married;1;2;monthly;4391;1;0;0;y;176000;0,60;good risk
100381;33;53115;f;married;0;2;monthly;4275;1;0;0;y;131000;0,62;bad loss
100761;44;53102;m;married;1;1;monthly;5811;1;0;0;y;170000;0,42;good risk
100350;32;52973;m;married;1;1;monthly;5206;1;0;0;y;158000;0,14;bad profit
100352;32;52961;f;married;1;1;monthly;2181;2;1;22290;y;136000;0,42;bad profit
100385;33;52896;m;married;0;2;monthly;3032;2;1;31530;y;115000;0,61;bad profit
100626;38;52887;m;married;0;2;monthly;4369;2;0;0;y;120000;0,81;good risk
100768;44;52772;m;married;1;2;monthly;7004;2;1;17430;y;138000;0,72;good risk
100295;30;52725;m;married;0;2;monthly;2000;1;0;0;y;143000;0,59;good risk
100526;37;52545;f;married;1;1;monthly;3359;2;0;0;y;164000;0,39;good risk
100325;31;52540;f;married;0;2;monthly;3431;1;0;0;y;147000;0,77;bad profit
100599;39;52495;f;married;1;2;monthly;4849;1;1;18730;y;154000;0,64;good risk
100603;39;52173;f;married;0;2;monthly;5015;2;0;0;y;124000;0,31;bad profit
100346;32;52118;m;married;1;2;monthly;3841;1;1;12950;y;130000;0,86;bad profit
100377;33;51945;f;married;1;1;monthly;2782;1;1;16710;y;154000;0,67;good risk
100727;36;51939;m;married;0;1;monthly;4861;1;0;0;y;129000;0,27;bad profit
100671;41;51859;f;married;0;2;monthly;4583;1;1;9950;y;119000;0,34;bad profit
100767;44;51724;m;married;1;1;monthly;7728;2;1;19660;y;136000;0,18;bad loss
100697;26;51561;m;married;0;2;monthly;1043;1;0;0;y;125000;0,65;good risk
